iter	RMSE
0	534.8648005
1	533.4666887
2	531.1207468
3	529.5515779
4	528.0840325
5	527.082314
6	525.4993999
7	524.0953233
8	522.606095
9	520.9585562
10	519.6343741
11	518.1451062
12	516.8058986
13	515.3060204
14	513.0896894
15	511.4676982
16	509.209797
17	507.737787
18	506.3013711
19	504.8290557
20	503.5014961
21	502.5104323
22	501.0444908
23	499.5788694
24	498.2647416
25	496.9406767
26	495.7591249
27	494.361556
28	492.368244
29	491.3094057
30	490.3302469
31	488.7935258
32	487.5991173
33	486.6860742
34	485.906888
35	484.8566711
36	483.2923369
37	482.1055291
38	480.7207631
39	479.2497382
40	478.4585058
41	478.0455611
42	476.8283715
43	476.0090136
44	474.8009044
45	472.8784443
46	471.5018306
47	470.6009053
48	469.9757584
49	468.0140548
50	466.7014914
51	465.8965146
52	464.3184238
53	463.3013514
54	462.3040352
55	461.2089718
56	460.0451766
57	459.2315187
58	457.9430048
59	457.068408
60	456.0689089
61	455.2851495
62	454.6020996
63	453.2841839
64	452.5659994
65	451.8504223
66	450.6551746
67	450.0800301
68	448.9248602
69	447.9956147
70	447.4018229
71	446.7773693
72	445.9360943
73	445.0430677
74	444.2011147
75	443.3255182
76	442.5458028
77	441.7931918
78	441.3327594
79	440.7976437
80	439.8417419
81	438.9587895
82	438.4977074
83	437.9214727
84	437.1272074
85	436.5179883
86	435.6339709
87	434.7163045
88	433.718029
89	433.0301713
90	431.8820255
91	430.9645428
92	430.1743462
93	429.2715768
94	428.7811284
95	427.3958671
96	426.2905145
97	426.0094639
98	424.9337411
99	424.312312
100	423.7095905
101	423.1523172
102	422.3757967
103	421.6368293
104	420.8211192
105	420.2068729
106	419.7491671
107	419.2142358
108	418.8707083
109	417.9311929
110	416.8815872
111	415.4993084
112	414.6796923
113	413.7990395
114	413.1827792
115	412.3465313
116	411.8258158
117	411.0117509
118	410.6652637
119	409.8687196
120	409.3233487
121	408.7631778
122	407.9830635
123	407.0116825
124	406.4621714
125	405.4290114
126	404.7358839
127	404.53347
128	403.6257672
129	402.9852932
130	402.5741963
131	401.9723619
132	401.593786
133	400.6896653
134	399.1670381
135	398.6755074
136	398.1722043
137	397.3651513
138	396.1214614
139	395.5720122
140	394.8388739
141	394.1662343
142	393.6201947
143	393.0316366
144	392.3557417
145	391.9884995
146	391.5739256
147	390.8245127
148	390.5651196
149	389.6031504
150	388.9432344
151	388.603436
152	387.7216495
153	387.3727196
154	386.7398792
155	386.3589898
156	386.1159114
157	385.1494259
158	384.1902838
159	383.7855729
160	383.1452703
161	382.5397531
162	381.5343535
163	380.8873435
164	380.024329
165	379.4726008
166	378.9532273
167	378.3709422
168	377.5597747
169	377.0224482
170	376.4337311
171	375.7282539
172	374.853674
173	373.9651757
174	373.2530591
175	372.1451636
176	371.2701203
177	370.1774871
178	369.2124204
179	368.9033813
180	368.5201075
181	367.9770248
182	367.1051099
183	366.3332181
184	365.5427874
185	364.8179983
186	364.0984871
187	363.7606381
188	363.4355718
189	363.1293242
190	362.6047882
191	362.2903593
192	361.7186423
193	360.9636495
194	360.5841414
195	359.8249461
196	359.4284544
197	358.9524467
198	358.4269693
199	358.136582
200	357.6076008
201	357.2439895
202	356.967856
203	356.7211428
204	356.3139492
205	356.0814953
206	355.7281442
207	355.2176098
208	354.4432818
209	353.6880764
210	352.7828463
211	352.4040032
212	352.0585241
213	350.957894
214	350.5905276
215	350.3077096
216	349.8299843
217	349.5533435
218	349.2775724
219	348.9015259
220	348.6278309
221	348.2795144
222	347.9847662
223	347.4518152
224	347.162354
225	346.9123525
226	346.4962275
227	346.0043531
228	345.4218501
229	344.7859042
230	344.3554037
231	344.152209
232	343.5713264
233	343.3707579
234	343.1262955
235	342.4767286
236	342.1507414
237	341.6867735
238	341.3408535
239	341.0015621
240	340.3563223
241	340.1233078
242	339.6459605
243	339.389406
244	339.0545218
245	338.2235677
246	338.0135504
247	337.6993075
248	337.3416863
249	336.7419595
250	335.5220963
251	335.2284255
252	334.628239
253	334.4140311
254	334.1587633
255	333.9779853
256	333.5713492
257	333.3652689
258	333.0905826
259	332.7603738
260	332.0737505
261	331.8738256
262	330.7744462
263	330.1919692
264	329.8378726
265	329.0935391
266	328.8659535
267	328.6054381
268	328.2723655
269	328.1507001
270	327.6124566
271	327.3481611
272	327.1601708
273	326.1689447
274	325.3687091
275	324.5559956
276	324.1777115
277	323.6216904
278	322.6455576
279	322.4243926
280	322.0811812
281	321.8067028
282	321.3931917
283	321.135451
284	320.9523659
285	320.7031331
286	320.5455217
287	320.0874383
288	319.7645247
289	319.6093711
290	319.3170175
291	318.8121465
292	318.5618037
293	318.1215464
294	317.9458826
295	317.8262801
296	317.5258177
